ID,CUSTOMER_OFFER_ID,VERIFIED_REDEMPTION_COUNT,SUBMITTED_REDEMPTION_COUNT,OFFER_AMOUNT,CREATED_AT
692578410,19955759064,1,1,1,2021-03-22 08:32:25.000
692578464,19953199999,1,,0.25,2021-03-22 08:33:04.000
692578465,19953205895,1,,0.25,2021-03-22 08:33:04.000
692578323,19958677654,,1,,2021-03-22 08:31:14.000
692578412,19955758949,1,1,2.25,2021-03-22 08:32:26.000
692578415,19955784767,3,3,1.75,2021-03-22 08:32:26.000
692578179,19959284467,1,1,0.5,2021-03-22 08:29:04.000
692578407,19955751174,2,2,1,2021-03-22 08:32:25.000
692578645,19959285590,1,1,0.5,2021-03-22 08:35:07.000
692578831,19959286037,0,2,2.75,2021-03-22 08:37:13.000
692579690,19959281701,1,1,0.5,2021-03-22 08:46:19.000
692578405,19955759671,1,1,1,2021-03-22 08:32:25.000
692578409,19955759123,1,1,3,2021-03-22 08:32:25.000
692578414,19955758966,1,1,2.25,2021-03-22 08:32:26.000
692579526,19954787882,1,,0.25,2021-03-22 08:45:15.000
692578650,19955516893,1,,0.5,2021-03-22 08:35:13.000
692578347,19956628619,1,,0.25,2021-03-22 08:31:39.000
692578404,19955781229,1,1,1.49,2021-03-22 08:32:25.000
692578411,19955758872,1,1,1,2021-03-22 08:32:25.000
692579279,19959287479,1,1,0.5,2021-03-22 08:42:08.000
692579523,19959288463,1,1,0.5,2021-03-22 08:45:14.000
692578406,19955750228,2,2,1,2021-03-22 08:32:25.000
692578408,19955751075,1,1,1,2021-03-22 08:32:25.000
692578413,19956186685,1,1,3,2021-03-22 08:32:26.000
692578416,19959280846,1,1,0.25,2021-03-22 08:32:26.000
692578466,19949660989,1,,0.5,2021-03-22 08:33:05.000
692578514,19959039553,1,,0.5,2021-03-22 08:33:42.000
692578515,19959039730,1,,0.25,2021-03-22 08:33:42.000
692580021,19956453807,1,,1.5,2021-03-22 08:50:31.000
692580032,19956458411,1,,2,2021-03-22 08:50:34.000
692580034,19956447627,1,,2,2021-03-22 08:50:34.000
692580035,19956479411,1,,1.5,2021-03-22 08:50:34.000
692582939,19956526432,1,,0.5,2021-03-22 09:22:44.000
692582942,19956495214,5,,0.2,2021-03-22 09:22:45.000
692579929,19959289843,1,1,0.25,2021-03-22 08:49:35.000
692580024,19956446328,1,,1.99,2021-03-22 08:50:32.000
692580025,19956448836,2,,1.5,2021-03-22 08:50:32.000
692580029,19956476722,1,,2.68,2021-03-22 08:50:33.000
692580033,19956446618,1,,1.88,2021-03-22 08:50:34.000
692580960,19959292767,1,1,0.5,2021-03-22 09:01:16.000
692582935,19956530078,1,,0.25,2021-03-22 09:22:44.000
692582940,19956527253,2,,0.5,2021-03-22 09:22:44.000
692580022,19956450447,1,,0.65,2021-03-22 08:50:31.000
692580023,19956503714,1,,0.5,2021-03-22 08:50:32.000
692580027,19956450992,1,,1.75,2021-03-22 08:50:33.000
692580028,19956502026,1,,3.98,2021-03-22 08:50:33.000
692580360,19959290740,1,1,0.5,2021-03-22 08:53:36.000
692580437,19959050112,1,,0.25,2021-03-22 08:54:17.000
692581563,19959284733,1,1,0.5,2021-03-22 09:07:18.000
692583161,19956457991,1,,0.25,2021-03-22 09:26:13.000
692580030,19956454249,1,,2.5,2021-03-22 08:50:33.000
692583117,19959300074,1,1,0.25,2021-03-22 09:25:15.000
692580026,19956445741,3,,0.25,2021-03-22 08:50:32.000
692582816,19959298350,1,1,3,2021-03-22 09:20:55.000
692582938,19956521089,1,,0.25,2021-03-22 09:22:44.000
692583469,19959296267,1,1,0.5,2021-03-22 09:31:10.000
692580020,19956490122,1,,1,2021-03-22 08:50:31.000
692580361,19959290867,1,1,0.25,2021-03-22 08:53:36.000
692581423,19959293284,5,5,2,2021-03-22 09:05:37.000
692582589,19955807374,1,1,5.49,2021-03-22 09:18:13.000
692582907,19959299468,1,1,,2021-03-22 09:22:19.000
692583162,19956491022,1,,0.35,2021-03-22 09:26:13.000
692580031,19956489444,1,,1.5,2021-03-22 08:50:34.000
692581985,19959295354,1,1,0.25,2021-03-22 09:12:35.000
692582027,19956020979,1,,0.25,2021-03-22 09:13:11.000
692581094,19959292813,1,1,0.5,2021-03-22 09:02:46.000
692581128,19957645514,1,1,0.5,2021-03-22 09:03:02.000
692582590,19955791944,1,1,0.5,2021-03-22 09:18:13.000
692582811,19959298682,3,3,1,2021-03-22 09:20:54.000
692582933,19956494701,1,,0.5,2021-03-22 09:22:43.000
692584017,19959288143,1,1,0.5,2021-03-22 09:37:30.000
692584842,19959308599,1,1,0.25,2021-03-22 09:50:43.000
